1,7,3,4,5,6,2,8,9,9,6,1,5,8,2,4,7,3,7,9,2,8,4,3,5,6,1,5,4,8,6,7,1,3,9,2,9,7,1,2,3,5,8,4,6,6,3,5,7,2,8,9,1,4,5,2,4,1,9,7,6,3,8,9,8,7,3,6,4,1,2,5,4,3,5,6,1,9,2,8,7,9,8,2,1,4,6,7,5,3,4,5,3,8,7,1,2,6,9,5,6,1,7,8,3,4,9,2,3,7,2,1,9,5,8,4,6,4,9,2,6,7,3,8,5,1,5,2,3,8,1,9,6,7,4,4,6,3,1,2,5,7,9,8,8,1,7,6,9,4,2,3,5,3,8,2,9,6,7,5,4,1,6,4,9,8,5,1,3,2,7,5,2,3,4,8,9,1,7,6,8,9,7,6,5,4,2,1,3,9,1,4,7,5,3,6,8,2,1,6,9,7,5,2,3,4,8,2,3,5,6,7,4,1,8,9,7,8,2,5,4,6,3,1,9,3,1,4,8,9,6,2,5,7,4,5,6,9,1,3,2,8,7,6,7,3,2,9,8,4,5,1,5,9,8,3,2,1,6,4,7,8,2,1,6,7,4,5,9,3,9,6,7,8,5,1,3,2,4,1,4,9,7,3,2,5,6,8,2,3,5,1,4,9,7,6,8,7,8,2,4,6,5,1,9,3,
---
Solution [travelDistance=254155, homeVisitViolations=0, consecutiveHomeVisitViolations=0, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6--7--8--9-
 [10, 9]  [16, 3]  [12, 7]  [13, 6]  [14, 5]  [15, 4]  [11, 8]  [17, 2]  [18, 1] 
 [12, 8]  [15, 5]  [18, 3]  [16, 4]  [13, 7]  [11, 9]  [17, 1]  [14, 6]  [10, 2] 
 [18, 2]  [12, 9]  [15, 6]  [14, 7]  [16, 1]  [17, 5]  [10, 4]  [13, 8]  [11, 3] 
 [15, 1]  [18, 7]  [16, 2]  [11, 5]  [10, 6]  [13, 3]  [14, 9]  [12, 4]  [17, 8] 
 [9, 4]  [13, 11]  [14, 1]  [17, 3]  [15, 2]  [18, 12]  [8, 5]  [16, 10]  [7, 6] 
 [17, 6]  [14, 2]  [11, 7]  [18, 4]  [12, 3]  [10, 8]  [13, 1]  [15, 9]  [16, 5] 
 [13, 2]  [8, 3]  [17, 9]  [12, 1]  [7, 4]  [16, 6]  [15, 11]  [18, 5]  [14, 10] 
 [16, 7]  [17, 4]  [13, 5]  [15, 10]  [18, 6]  [14, 3]  [12, 2]  [11, 1]  [9, 8] 
 [14, 4]  [16, 13]  [10, 1]  [9, 6]  [11, 2]  [12, 5]  [18, 8]  [17, 7]  [15, 3] 
 [10, 3]  [9, 1]  [18, 11]  [13, 4]  [17, 12]  [15, 7]  [16, 14]  [8, 2]  [6, 5] 
 [12, 6]  [15, 14]  [9, 2]  [7, 3]  [8, 1]  [17, 13]  [11, 4]  [10, 5]  [18, 16] 
 [7, 1]  [18, 10]  [15, 12]  [16, 8]  [4, 5]  [6, 2]  [9, 3]  [13, 14]  [17, 11] 
