8,7,3,4,5,6,1,2,9,9,6,1,5,8,2,4,7,3,7,5,2,3,4,9,8,6,1,5,1,8,6,7,4,3,9,2,7,5,9,2,3,8,6,1,4,4,8,9,7,6,1,2,3,5,3,8,6,1,2,5,9,4,7,2,4,7,9,5,3,1,8,6,7,8,9,4,1,6,5,2,3,2,6,3,1,4,9,7,5,8,8,1,5,7,2,3,4,6,9,6,8,5,9,3,7,4,1,2,5,6,1,7,2,8,3,9,4,9,4,1,3,5,8,2,6,7,3,1,9,2,7,6,8,4,5,2,8,4,7,5,1,6,9,3,7,5,6,8,3,4,9,2,1,5,7,1,2,8,9,4,3,6,6,9,2,5,3,1,8,7,4,9,1,3,6,5,2,7,4,8,8,2,9,3,7,4,6,5,1,3,8,4,7,9,2,6,5,1,4,6,2,8,5,1,9,7,3,2,7,1,9,4,8,6,5,3,1,3,4,5,2,8,7,6,9,5,9,6,4,1,7,3,8,2,9,8,7,6,1,5,3,4,2,6,2,5,9,3,4,7,8,1,8,1,9,7,6,3,5,4,2,4,6,3,8,5,7,9,1,2,3,5,1,4,7,8,2,6,9,7,3,2,1,8,9,6,4,5,2,4,6,5,9,8,7,1,3,5,9,7,2,1,6,8,3,4,
---
Solution [travelDistance=217502, homeVisitViolations=0, consecutiveHomeVisitViolations=0, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6--7--8--9-
 [16, 3]  [17, 2]  [12, 7]  [13, 6]  [14, 5]  [15, 4]  [11, 8]  [10, 9]  [18, 1] 
 [12, 8]  [15, 5]  [18, 3]  [16, 4]  [13, 7]  [11, 9]  [17, 1]  [14, 6]  [10, 2] 
 [18, 2]  [12, 9]  [13, 8]  [14, 7]  [11, 3]  [17, 5]  [10, 4]  [16, 1]  [15, 6] 
 [11, 5]  [18, 7]  [16, 2]  [15, 1]  [10, 6]  [13, 3]  [14, 9]  [12, 4]  [17, 8] 
 [17, 3]  [13, 11]  [14, 1]  [18, 12]  [8, 5]  [16, 10]  [7, 6]  [15, 2]  [9, 4] 
 [15, 9]  [16, 5]  [17, 6]  [10, 8]  [18, 4]  [14, 2]  [13, 1]  [11, 7]  [12, 3] 
 [13, 2]  [14, 10]  [7, 4]  [17, 9]  [15, 11]  [12, 1]  [18, 5]  [8, 3]  [16, 6] 
 [16, 7]  [9, 8]  [15, 10]  [11, 1]  [14, 3]  [18, 6]  [12, 2]  [17, 4]  [13, 5] 
 [14, 4]  [17, 7]  [18, 8]  [12, 5]  [16, 13]  [15, 3]  [9, 6]  [10, 1]  [11, 2] 
 [10, 3]  [6, 5]  [9, 1]  [13, 4]  [17, 12]  [8, 2]  [16, 14]  [18, 11]  [15, 7] 
 [8, 1]  [11, 4]  [12, 6]  [15, 14]  [9, 2]  [17, 13]  [10, 5]  [7, 3]  [18, 16] 
 [17, 11]  [18, 10]  [13, 14]  [16, 8]  [7, 1]  [4, 5]  [15, 12]  [6, 2]  [9, 3] 
 [7, 2]  [12, 14]  [16, 11]  [18, 9]  [5, 3]  [6, 1]  [8, 4]  [15, 13]  [17, 10] 
 [6, 3]  [15, 8]  [10, 7]  [5, 1]  [13, 12]  [16, 9]  [18, 17]  [14, 11]  [4, 2] 
 [4, 1]  [9, 5]  [2, 3]  [17, 15]  [18, 14]  [13, 10]  [11, 6]  [16, 12]  [8, 7] 
 [12, 17]  [3, 1]  [18, 13]  [6, 4]  [11, 10]  [14, 8]  [9, 7]  [5, 2]  [16, 15] 
